domain,problem,algorithm,unexplained_errors,error,raw_memory,p7_settings_file,cost,coverage,dead_ends,evaluations,expansions,generated,initial_h_value,plan_length,planner_time,search_time,translator_facts,translator_operators,reformulation_time,reformulated_plan_valid,rebuild_plan_valid,solvable,plan_length_difference,macros_used,unique_macros_used,macros_generated,total_walker_paths,total_walker_invalid_paths,total_walker_steps,total_walker_actions_generated,walker_average_branching_factor,walker_median_branching_factor,walker_average_path_length,walker_median_path_length,walker_heuristic,walker_total_time
depot_medium,p09.pddl,greedyResumeWalker, ,success,27112,.1s_medium,115.0,1,0,19406,4851,51984, ,115,3.1655599999999997,2.79573,489,1816,3355.0, , ,True,0,0,0,4,13,102,31,2110,12,12,2,2,goalPredicateCount,90
depot_medium,p10.pddl,greedyResumeWalker, ,success,16980,.1s_medium,42.0,1,0,12614,3153,46764, ,42,0.901493,0.759926,204,816,1069.0, , ,True,0,0,0,0,6,125,12,1787,11,11,2,2,goalPredicateCount,90
depot_medium,p11.pddl,greedyResumeWalker, ,success,27024,.1s_medium,125.0,1,0,10982,2745,43282, ,125,1.8514199999999998,1.62373,356,1800,2001.0, , ,True,0,0,0,0,9,128,18,1778,10,10,2,2,goalPredicateCount,90
depot_medium,p17.pddl,greedyResumeWalker, ,success,24708,.1s_medium,31.0,1,0,4582,1145,32538, ,31,0.964679,0.691613,408,2943,1123.0, , ,True,0,0,0,5,28,27,74,2881,18,18,2,2,goalPredicateCount,90
depot_medium,p18.pddl,greedyResumeWalker, ,success,50784,.1s_medium,82.0,1,0,3926,981,30826, ,82,3.36953,2.33579,663,5568,3555.0, , ,True,0,0,0,0,4,83,8,1720,14,14,2,2,goalPredicateCount,90
depot_medium,p21.pddl,greedyResumeWalker, ,success,68692,.1s_medium,33.0,1,0,794,198,16192, ,33,2.2502649999999997,0.623923,792,8568,2451.0, , ,True,0,0,0,6,18,5,43,1475,20,21,2,2,goalPredicateCount,91
freecell_medium,p08.pddl,greedyResumeWalker, ,success,42936,.1s_medium,56.0,1,0,534,133,813, ,56,1.264572,0.25198,295,6984,1461.0, , ,True,0,0,0,4,12,15,57,783,7,8,4,3,goalPredicateCount,90
freecell_medium,p09.pddl,greedyResumeWalker, ,success,42652,.1s_medium,50.0,1,1,351,87,657, ,50,1.570764,0.359968,296,6999,1781.0, , ,True,0,0,0,2,18,1,93,717,6,7,5,4,goalPredicateCount,90
freecell_medium,p10.pddl,greedyResumeWalker, ,success,52260,.1s_medium,60.0,1,2,976,243,1471, ,60,1.7316660000000001,0.539946,332,9500,1916.0, , ,True,0,0,0,6,17,0,80,690,7,8,4,4,goalPredicateCount,90
freecell_medium,p11.pddl,greedyResumeWalker, ,success,53180,.1s_medium,104.0,1,330,12728,3099,13259, ,104,15.5149,13.5828,334,9539,15732.0, , ,True,0,0,0,6,8,0,63,434,6,7,7,9,goalPredicateCount,90
freecell_medium,p12.pddl,greedyResumeWalker, ,success,50768,.1s_medium,63.0,1,12,686,168,882, ,63,1.379942,0.323951,332,9497,1546.0, , ,True,0,0,0,5,13,0,94,729,6,7,7,7,goalPredicateCount,90
freecell_medium,p14.pddl,greedyResumeWalker, ,success,64712,.1s_medium,66.0,1,19,1497,369,2407, ,66,2.67361,1.23988,369,12531,2849.0, , ,True,0,0,0,2,12,0,69,669,8,9,5,6,goalPredicateCount,91
freecell_medium,p17.pddl,greedyResumeWalker, ,success,105320,.1s_medium,88.0,1,5,1259,313,1980, ,88,5.5216899999999995,2.31173,443,20371,5728.0, , ,True,0,0,0,2,13,1,66,568,7,8,5,4,goalPredicateCount,90
freecell_medium,probfreecell-10-2.pddl,greedyResumeWalker, ,success,107096,.1s_medium,61.0,1,0,1146,286,2571, ,61,6.54697,2.98777,375,19347,6793.0, , ,True,0,0,0,9,6,0,76,501,6,8,12,12,goalPredicateCount,90
freecell_medium,probfreecell-10-3.pddl,greedyResumeWalker, ,success,105352,.1s_medium,71.0,1,4,1022,254,1940, ,71,5.10707,2.01183,374,19313,5320.0, , ,True,0,0,0,3,7,0,65,591,8,8,9,8,goalPredicateCount,90
freecell_medium,probfreecell-10-5.pddl,greedyResumeWalker, ,success,108000,.1s_medium,94.0,1,2,2188,546,4166, ,94,4.84867,2.76364,376,19375,5026.0, , ,True,0,0,0,7,12,0,84,847,8,9,7,7,goalPredicateCount,90
freecell_medium,probfreecell-11-3.pddl,greedyResumeWalker, ,success,111692,.1s_medium,68.0,1,20,998,244,1697, ,68,3.76352,1.31982,411,21342,3964.0, , ,True,2,1,1,1,7,0,64,615,8,9,9,7,goalPredicateCount,90
freecell_medium,probfreecell-12-3.pddl,greedyResumeWalker, ,success,118472,.1s_medium,81.0,1,10,1672,415,2905, ,81,4.88991,2.69569,447,23349,5060.0, , ,True,0,0,0,3,11,0,90,776,7,8,8,8,goalPredicateCount,90
freecell_medium,probfreecell-13-2.pddl,greedyResumeWalker, ,success,121788,.1s_medium,110.0,1,35,2817,695,3610, ,110,5.52796,2.75597,483,25359,5728.0, , ,True,3,1,1,5,6,0,61,307,4,3,10,11,goalPredicateCount,91
freecell_medium,probfreecell-4-1.pddl,greedyResumeWalker, ,success,40472,.1s_medium,20.0,1,0,90,22,262, ,20,1.303706,0.0839941,163,7379,1503.0, , ,True,2,1,1,5,12,0,65,1287,16,17,5,3,goalPredicateCount,90
freecell_medium,probfreecell-4-2.pddl,greedyResumeWalker, ,success,39716,.1s_medium,17.0,1,0,70,17,188, ,17,0.919452,0.027998,160,7350,1097.0, , ,True,0,0,0,2,11,10,46,1188,15,15,4,4,goalPredicateCount,90
freecell_medium,probfreecell-4-3.pddl,greedyResumeWalker, ,success,40520,.1s_medium,18.0,1,0,74,18,187, ,18,1.1716039999999999,0.0319972,162,7322,1374.0, , ,True,0,0,0,4,12,0,68,1225,15,15,5,6,goalPredicateCount,90
freecell_medium,probfreecell-4-4.pddl,greedyResumeWalker, ,success,39548,.1s_medium,19.0,1,0,78,19,223, ,19,1.053521,0.0479527,161,7379,1250.0, , ,True,0,0,0,4,11,0,62,1143,15,16,5,5,goalPredicateCount,90
freecell_medium,probfreecell-4-5.pddl,greedyResumeWalker, ,success,39652,.1s_medium,19.0,1,0,78,19,208, ,19,0.653475,0.0279971,161,7320,848.0, , ,True,0,0,0,3,21,0,61,1172,14,14,2,2,goalPredicateCount,91
freecell_medium,probfreecell-5-1.pddl,greedyResumeWalker, ,success,56400,.1s_medium,28.0,1,0,142,35,469, ,28,1.860784,0.147991,198,9357,2061.0, , ,True,0,0,0,4,9,1,71,1233,15,15,7,7,goalPredicateCount,90
freecell_medium,probfreecell-5-2.pddl,greedyResumeWalker, ,success,56032,.1s_medium,24.0,1,0,106,26,306, ,24,1.701931,0.14399,197,9383,1910.0, , ,True,0,0,0,4,9,0,70,1153,14,15,7,7,goalPredicateCount,91
freecell_medium,probfreecell-5-3.pddl,greedyResumeWalker, ,success,56912,.1s_medium,25.0,1,0,106,26,254, ,25,1.75946,0.171989,195,9321,1975.0, , ,True,0,0,0,2,19,0,61,1107,14,14,3,2,goalPredicateCount,91
freecell_medium,probfreecell-5-4.pddl,greedyResumeWalker, ,success,55464,.1s_medium,25.0,1,0,110,27,357, ,25,1.087476,0.0719606,198,9358,1297.0, , ,True,0,0,0,6,11,0,68,1097,13,14,6,6,goalPredicateCount,91
freecell_medium,probfreecell-5-5.pddl,greedyResumeWalker, ,success,55104,.1s_medium,27.0,1,0,118,29,369, ,27,1.077294,0.0759944,196,9352,1240.0, , ,True,0,0,0,4,17,0,81,1330,13,14,4,5,goalPredicateCount,90
freecell_medium,probfreecell-6-1.pddl,greedyResumeWalker, ,success,63008,.1s_medium,35.0,1,0,242,60,568, ,35,1.295969,0.159988,232,11356,1465.0, , ,True,0,0,0,5,13,0,86,1061,10,11,6,6,goalPredicateCount,90
freecell_medium,probfreecell-6-2.pddl,greedyResumeWalker, ,success,60948,.1s_medium,29.0,1,0,118,29,326, ,29,1.251351,0.107993,233,11382,1423.0, , ,True,0,0,0,1,8,0,65,969,13,13,8,9,goalPredicateCount,91
freecell_medium,probfreecell-6-3.pddl,greedyResumeWalker, ,success,62624,.1s_medium,32.0,1,0,214,53,678, ,32,1.6587429999999999,0.14399,231,11330,1828.0, , ,True,0,0,0,5,22,0,81,1254,12,11,3,2,goalPredicateCount,90
freecell_medium,probfreecell-6-4.pddl,greedyResumeWalker, ,success,63112,.1s_medium,33.0,1,0,306,76,827, ,33,1.4508480000000001,0.219985,233,11329,1648.0, , ,True,0,0,0,4,8,0,59,911,13,14,7,7,goalPredicateCount,90
freecell_medium,probfreecell-6-5.pddl,greedyResumeWalker, ,success,61260,.1s_medium,34.0,1,0,194,48,610, ,34,1.099035,0.143989,232,11355,1300.0, , ,True,0,0,0,3,10,12,50,905,10,10,5,5,goalPredicateCount,90
freecell_medium,probfreecell-7-1.pddl,greedyResumeWalker, ,success,68192,.1s_medium,47.0,1,0,774,193,1727, ,47,2.361782,0.659944,268,13365,2529.0, , ,True,0,0,0,6,12,0,100,1053,9,9,8,9,goalPredicateCount,90
freecell_medium,probfreecell-7-2.pddl,greedyResumeWalker, ,success,67180,.1s_medium,35.0,1,0,150,37,389, ,35,1.3341910000000001,0.13599,268,13361,1506.0, , ,True,0,0,0,4,13,0,89,1067,10,10,6,6,goalPredicateCount,90
freecell_medium,probfreecell-7-3.pddl,greedyResumeWalker, ,success,66524,.1s_medium,36.0,1,0,262,65,805, ,36,1.742688,0.223984,267,13340,1952.0, , ,True,0,0,0,9,11,0,72,871,10,11,6,7,goalPredicateCount,91
freecell_medium,probfreecell-7-4.pddl,greedyResumeWalker, ,success,68468,.1s_medium,47.0,1,0,962,240,2253, ,47,2.96765,0.775931,269,13331,3165.0, , ,True,0,0,0,4,17,0,71,755,8,9,4,3,goalPredicateCount,90
freecell_medium,probfreecell-7-5.pddl,greedyResumeWalker, ,success,67452,.1s_medium,48.0,1,0,926,231,2448, ,48,3.132237,0.815903,268,13359,3337.0, , ,True,0,0,0,3,10,0,69,773,9,10,6,7,goalPredicateCount,91
freecell_medium,probfreecell-8-1.pddl,greedyResumeWalker, ,success,77652,.1s_medium,56.0,1,0,1034,258,2415, ,56,2.82104,1.03586,306,15360,3005.0, , ,True,0,0,0,1,11,0,62,647,8,10,5,4,goalPredicateCount,91
freecell_medium,probfreecell-8-2.pddl,greedyResumeWalker, ,success,73996,.1s_medium,49.0,1,0,342,85,1087, ,49,2.033182,0.347973,303,15341,2208.0, , ,True,0,0,0,9,11,0,58,592,8,10,5,4,goalPredicateCount,90
freecell_medium,probfreecell-8-3.pddl,greedyResumeWalker, ,success,75280,.1s_medium,41.0,1,0,306,76,947, ,41,3.68787,0.819922,303,15338,3906.0, , ,True,0,0,0,7,9,1,75,896,10,11,8,9,goalPredicateCount,90
freecell_medium,probfreecell-8-4.pddl,greedyResumeWalker, ,success,75416,.1s_medium,54.0,1,0,1754,438,3314, ,54,3.88381,1.66386,303,15341,4089.0, , ,True,0,0,0,8,13,0,73,864,10,10,5,5,goalPredicateCount,90
freecell_medium,probfreecell-8-5.pddl,greedyResumeWalker, ,success,76896,.1s_medium,54.0,1,0,2578,644,7004, ,54,7.74548,4.99959,304,15370,7967.0, , ,True,0,0,0,8,13,0,82,924,9,10,6,6,goalPredicateCount,90
freecell_medium,probfreecell-9-1.pddl,greedyResumeWalker, ,success,99720,.1s_medium,67.0,1,0,1370,342,2661, ,67,3.9617999999999998,1.72781,340,17372,4170.0, , ,True,6,1,1,7,8,0,79,732,8,7,9,11,goalPredicateCount,90
freecell_medium,probfreecell-9-2.pddl,greedyResumeWalker, ,success,99200,.1s_medium,47.0,1,1,379,94,1077, ,47,2.201842,0.379975,338,17308,2391.0, , ,True,0,0,0,1,6,0,72,683,8,10,12,13,goalPredicateCount,90
freecell_medium,probfreecell-9-3.pddl,greedyResumeWalker, ,success,101128,.1s_medium,53.0,1,0,450,112,1292, ,53,3.7098699999999996,0.807906,339,17343,3919.0, , ,True,0,0,0,6,8,0,72,704,8,9,9,11,goalPredicateCount,90
