domain,problem,algorithm,unexplained_errors,error,raw_memory,p7_settings_file,cost,coverage,dead_ends,evaluations,expansions,generated,initial_h_value,plan_length,planner_time,search_time,translator_facts,reformulation_time,reformulated_plan_valid,rebuild_plan_valid,solvable,plan_length_difference,macros_used,unique_macros_used,macros_generated,total_walker_paths,total_walker_actions_generated,walker_average_branching_factor,walker_median_branching_factor,walker_average_path_length,walker_median_path_length
driverlog_easy,p17.pddl,greedyResumeWalker, ,success,24228,1s_easy,122.0,1,0,5114,1278,42380, ,122,1.927965,0.655977,665,93446.0,True,True,True,0,0,0,100,6005,1914821,32,32,8,6
freecell_easy,p01.pddl,greedyResumeWalker, ,success,12424,1s_easy,8.0,1,0,34,8,48, ,8,0.21000000000000002,0.01,75,90622.0,True,True,True,0,0,0,18,97272,2824587,8,9,2,2
freecell_easy,p02.pddl,greedyResumeWalker, ,success,15852,1s_easy,15.0,1,0,62,15,90, ,15,2.3081289,0.01,112,92774.0,True,True,True,0,0,0,100,27152,1977852,8,8,4,4
freecell_easy,p03.pddl,greedyResumeWalker, ,success,18464,1s_easy,19.0,1,0,106,26,269, ,19,8.4005999,0.01,146,99584.0,True,True,True,11,1,1,100,57040,1723628,7,8,2,2
freecell_easy,p04.pddl,greedyResumeWalker, ,success,20604,1s_easy,24.0,1,0,134,33,307, ,24,13.5974829,0.0199997,180,104726.0,True,True,True,12,1,1,100,25471,1224253,6,7,5,5
freecell_easy,p05.pddl,greedyResumeWalker, ,success,25080,1s_easy,29.0,1,2,232,57,440, ,29,16.0119966,0.0439988,220,108371.0,True,True,True,12,1,1,100,30468,1129811,6,6,4,4
freecell_easy,p06.pddl,greedyResumeWalker, ,success,34868,1s_easy,35.0,1,2,244,60,519, ,35,17.043155,0.0759979,255,108547.0,True,True,True,12,1,1,100,20449,1183399,8,9,5,5
freecell_easy,p07.pddl,greedyResumeWalker, ,success,35784,1s_easy,46.0,1,8,598,147,704, ,46,11.503915,0.143988,259,102553.0,True,True,True,9,1,1,100,31887,1199732,7,7,4,4
freecell_easy,probfreecell-2-1.pddl,greedyResumeWalker, ,success,24564,1s_easy,9.0,1,0,38,9,54, ,9,3.7819447,0.0120006,92,96249.0,True,True,True,0,0,0,100,29595,2240618,12,11,4,3
freecell_easy,probfreecell-2-2.pddl,greedyResumeWalker, ,success,24076,1s_easy,8.0,1,0,34,8,70, ,8,1.8417854,0.01,91,94537.0,True,True,True,0,0,0,100,27721,2894590,15,14,4,4
