domain,problem,algorithm,unexplained_errors,error,raw_memory,p7_settings_file,cost,coverage,dead_ends,evaluations,expansions,generated,initial_h_value,plan_length,planner_time,search_time,translator_facts,translator_operators,reformulation_time,reformulated_plan_valid,rebuild_plan_valid,solvable,plan_length_difference,macros_used,unique_macros_used,macros_generated,total_walker_paths,total_walker_invalid_paths,total_walker_steps,total_walker_actions_generated,walker_average_branching_factor,walker_median_branching_factor,walker_average_path_length,walker_median_path_length,walker_heuristic,walker_total_time
depot_easy,p01.pddl,greedyResumeWalker, ,success,10668,10s_easy,10.0,1,0,86,21,132, ,10,0.02,0.01,48,72,9068.0, , ,True,0,0,0,0,25,37673,117,362273,8,8,4,4,goalPredicateCount,9000
depot_easy,p02.pddl,greedyResumeWalker, ,success,11496,10s_easy,12.0,1,0,66,16,152, ,12,0.73,0.01,86,280,10046.0, , ,True,4,2,2,100,8067,3252,21447,347512,9,9,2,2,goalPredicateCount,9000
depot_easy,p03.pddl,greedyResumeWalker, ,success,12936,10s_easy,38.0,1,0,1114,278,2961, ,38,0.6119981999999999,0.027998,132,436,10085.0, , ,True,8,3,3,100,3939,10652,15254,305783,9,9,3,3,goalPredicateCount,9000
depot_easy,p04.pddl,greedyResumeWalker, ,success,14064,10s_easy,45.0,1,0,2034,508,5549, ,45,0.3881832,0.0679974,186,640,9563.0, , ,True,4,2,2,100,434,37632,1709,326180,8,8,3,3,goalPredicateCount,9000
depot_easy,p07.pddl,greedyResumeWalker, ,success,12792,10s_easy,25.0,1,0,674,168,1705, ,25,0.1692288,0.0279989,156,431,9267.0, , ,True,3,1,1,23,882,18210,2444,290666,10,10,2,2,goalPredicateCount,9000
depot_easy,p08.pddl,greedyResumeWalker, ,success,17464,10s_easy,39.0,1,0,1022,255,2904, ,39,2.30799,0.0999893,284,1012,11932.0, , ,True,4,1,1,100,4057,4529,12186,306515,13,13,3,3,goalPredicateCount,9000
depot_easy,p13.pddl,greedyResumeWalker, ,success,16020,10s_easy,28.0,1,0,426,106,1612, ,28,0.1419986,0.0199992,236,984,9209.0, , ,True,0,0,0,0,3,15777,15,239812,10,11,5,3,goalPredicateCount,9000
depot_easy,p14.pddl,greedyResumeWalker, ,success,26328,10s_easy,40.0,1,0,742,185,3408, ,40,1.9828750000000002,0.0959972,404,2177,11562.0, , ,True,3,1,1,97,3402,1285,9181,209900,13,14,2,2,goalPredicateCount,9000
depot_easy,p16.pddl,greedyResumeWalker, ,success,18060,10s_easy,25.0,1,0,362,90,2441, ,25,0.9855851,0.0439989,240,1459,10255.0, , ,True,3,1,1,55,1382,8377,4650,287676,16,16,3,3,goalPredicateCount,9000
depot_easy,p19.pddl,greedyResumeWalker, ,success,27508,10s_easy,52.0,1,0,1790,447,15797, ,52,3.261969,0.355972,388,2452,12925.0, , ,True,0,0,0,100,1793,650,7897,173640,15,16,4,3,goalPredicateCount,9000
driverlog_easy,p01.pddl,greedyResumeWalker, ,success,10536,10s_easy,8.0,1,0,38,9,61, ,8,0.01,0.01,34,88,9057.0, , ,True,0,0,0,0,0,32203,0,418639,6,7,0,0,goalPredicateCount,9000
driverlog_easy,p02.pddl,greedyResumeWalker, ,success,11204,10s_easy,22.0,1,0,15782,3945,32698, ,22,0.0497519,0.0397519,41,110,9120.0, , ,True,0,0,0,2,3196,16344,10606,418388,8,9,3,3,goalPredicateCount,9000
driverlog_easy,p03.pddl,greedyResumeWalker, ,success,10668,10s_easy,15.0,1,0,130,32,239, ,15,0.29000000000000004,0.01,46,220,9602.0, , ,True,0,0,0,100,6144,1000,26160,267164,7,8,4,4,goalPredicateCount,9000
driverlog_easy,p04.pddl,greedyResumeWalker, ,success,11596,10s_easy,19.0,1,0,16946,4236,45767, ,19,0.2848518,0.0548518,51,244,9500.0, , ,True,0,0,0,100,7789,1843,25680,369611,9,10,3,3,goalPredicateCount,9000
driverlog_easy,p05.pddl,greedyResumeWalker, ,success,10800,10s_easy,22.0,1,0,234,58,670, ,22,0.22,0.01,59,268,9501.0, , ,True,0,0,0,100,5729,1659,21458,322311,10,10,3,3,goalPredicateCount,9000
