domain,problem,algorithm,unexplained_errors,error,raw_memory,p7_settings_file,cost,coverage,dead_ends,evaluations,expansions,generated,initial_h_value,plan_length,planner_time,search_time,translator_facts,translator_operators,reformulation_time,reformulated_plan_valid,rebuild_plan_valid,solvable,plan_length_difference,macros_used,unique_macros_used,macros_generated,total_walker_paths,total_walker_invalid_paths,total_walker_steps,total_walker_actions_generated,walker_average_branching_factor,walker_median_branching_factor,walker_average_path_length,walker_median_path_length,walker_heuristic,walker_total_time
driverlog_hard,p16.pddl,greedyResumeWalker, ,success,91536,100s_hard,167.0,1,0,546946,136736,3042342, ,167,30.6545,28.9388,500,4990,121761.0, , ,True,0,0,0,100,17664,4411,76698,1850231,17,20,4,4,goalPredicateCount,90001
driverlog_hard,p18.pddl,greedyResumeWalker, ,success,64508,100s_hard,159.0,1,0,185790,46447,1547891, ,159,23.333099999999998,21.0031,850,8660,114337.0, , ,True,0,0,0,100,13615,3299,61585,1581612,19,21,4,4,goalPredicateCount,90001
driverlog_hard,p19.pddl,greedyResumeWalker, ,success,68072,100s_hard,299.0,1,0,213066,53266,1516984, ,299,23.196099999999998,21.295,1050,10110,113703.0, , ,True,6,1,1,100,13972,6218,50852,1440582,18,21,3,3,goalPredicateCount,90000
driverlog_hard,p20.pddl,greedyResumeWalker, ,success,44556,100s_hard,164.0,1,0,7958,1989,122242, ,164,5.65789,2.21589,1276,15556,96568.0, , ,True,0,0,0,100,7515,3761,39624,1060267,19,21,5,4,goalPredicateCount,90001
freecell_hard,p13.pddl,greedyResumeWalker, ,success,66716,100s_hard,71.0,1,4,1558,388,2440, ,71,6.13791,1.14796,369,12628,99370.0, , ,True,8,2,2,100,5834,58,90406,724691,7,9,15,14,goalPredicateCount,90000
freecell_hard,p15.pddl,greedyResumeWalker, ,success,96248,100s_hard,89.0,1,8,2314,576,3808, ,89,11.255659999999999,4.78775,407,16264,103255.0, , ,True,9,3,3,100,4469,0,66469,513351,7,8,14,14,goalPredicateCount,90001
freecell_hard,p16.pddl,greedyResumeWalker, ,success,95064,100s_hard,69.0,1,16,738,180,1351, ,69,8.263106,0.663974,407,16212,100708.0, , ,True,8,1,1,100,4193,0,72773,590702,7,9,17,16,goalPredicateCount,90000
freecell_hard,p18.pddl,greedyResumeWalker, ,success,113796,100s_hard,101.0,1,4300,89722,21355,102686, ,101,117.218,106.319,446,20548,209486.0, , ,True,5,1,1,100,5963,0,74308,478456,5,7,12,12,goalPredicateCount,90000
freecell_hard,probfreecell-10-1.pddl,greedyResumeWalker, ,success,108564,100s_hard,76.0,1,29,2011,495,2746, ,76,22.44974,4.83176,376,19467,114976.0, , ,True,12,2,2,100,6971,0,79227,454808,5,6,11,10,goalPredicateCount,90000
freecell_hard,probfreecell-10-4.pddl,greedyResumeWalker, ,success,108608,100s_hard,69.0,1,0,3198,799,6969, ,69,9.54173,3.95574,375,19439,101786.0, , ,True,4,1,1,100,3932,0,70287,584888,7,9,17,16,goalPredicateCount,90001
freecell_hard,probfreecell-11-2.pddl,greedyResumeWalker, ,success,112620,100s_hard,62.0,1,6,3996,997,7725, ,62,16.42108,5.88762,411,21446,108789.0, , ,True,12,2,2,100,4943,0,80118,514735,6,7,16,14,goalPredicateCount,90000
freecell_hard,probfreecell-11-4.pddl,greedyResumeWalker, ,success,113308,100s_hard,93.0,1,96,4250,1038,5413, ,93,16.2868,6.19175,411,21443,108776.0, , ,True,8,2,2,100,4790,0,74479,519633,6,8,15,14,goalPredicateCount,90000
freecell_hard,probfreecell-11-5.pddl,greedyResumeWalker, ,success,115564,100s_hard,111.0,1,284,31194,7727,37720, ,111,50.3283,40.6181,412,21472,142609.0, , ,True,6,2,2,100,4826,0,67184,451252,6,7,13,13,goalPredicateCount,90000
freecell_hard,probfreecell-12-2.pddl,greedyResumeWalker, ,success,118380,100s_hard,75.0,1,9,1235,306,2366, ,75,11.47989,1.67993,447,23450,104184.0, , ,True,8,2,2,100,4666,0,74607,469554,5,7,15,14,goalPredicateCount,90000
freecell_hard,probfreecell-12-4.pddl,greedyResumeWalker, ,success,122696,100s_hard,142.0,1,499,8605,2026,10267, ,142,32.5471,14.3552,448,23476,125025.0, , ,True,6,2,2,100,4957,0,71161,468158,6,7,14,14,goalPredicateCount,90001
freecell_hard,probfreecell-13-1.pddl,greedyResumeWalker, ,success,127092,100s_hard,130.0,1,1071,38729,9414,40402, ,130,95.6265,63.2726,484,25479,188623.0, , ,True,8,1,1,100,7381,0,68620,352403,4,6,9,9,goalPredicateCount,90000
freecell_hard,probfreecell-13-3.pddl,greedyResumeWalker, ,success,126104,100s_hard,93.0,1,77,2159,520,2997, ,93,10.13042,3.36779,483,25450,102048.0, , ,True,8,1,1,100,4427,0,67264,445713,6,7,15,14,goalPredicateCount,90000
freecell_hard,probfreecell-13-4.pddl,greedyResumeWalker, ,success,127588,100s_hard,137.0,1,867,32185,7829,37689, ,137,74.93690000000001,56.7478,483,25453,167199.0, , ,True,5,1,1,100,5077,0,68057,428569,5,7,13,13,goalPredicateCount,90001
freecell_hard,probfreecell-9-5.pddl,greedyResumeWalker, ,success,101880,100s_hard,63.0,1,0,1978,494,3866, ,63,5.29072,1.82792,340,17466,97256.0, , ,True,5,1,1,100,4164,0,76892,723562,8,10,18,16,goalPredicateCount,90000
logistics_hard,p05.pddl,greedyResumeWalker, ,success,65336,100s_hard,168.0,1,0,8990,2247,959240, ,168,4.53621,2.53588,5168,19924,94768.0, , ,True,0,0,0,100,2168,327,15132,411752,23,23,6,6,goalPredicateCount,90002
logistics_hard,p06.pddl,greedyResumeWalker, ,success,114160,100s_hard,204.0,1,0,17354,4338,2338912, ,204,19.3917,14.3034,7192,27804,109703.0, , ,True,0,0,0,84,1358,216,10913,329475,26,26,8,7,goalPredicateCount,90004
logistics_hard,p07.pddl,greedyResumeWalker, ,success,150612,100s_hard,229.0,1,0,23718,5929,3440330, ,229,21.0412,16.8792,9182,35864,111273.0, , ,True,0,0,0,44,1056,113,9248,301554,28,29,8,7,goalPredicateCount,90004
logistics_hard,p08.pddl,greedyResumeWalker, ,success,190048,100s_hard,264.0,1,0,25154,6288,4226392, ,264,25.8502,21.2307,12434,48562,116065.0, , ,True,0,0,0,30,990,110,7948,265590,29,29,8,7,goalPredicateCount,90005
logistics_hard,p09.pddl,greedyResumeWalker, ,success,310088,100s_hard,307.0,1,0,49582,12395,9266529, ,307,65.6262,62.349,15065,59929,155780.0, , ,True,0,0,0,1,745,84,6443,227137,31,31,8,7,goalPredicateCount,90009
