domain,problem,algorithm,unexplained_errors,error,raw_memory,p7_settings_file,cost,coverage,dead_ends,evaluations,expansions,generated,initial_h_value,plan_length,planner_time,search_time,translator_facts,reformulation_time,reformulated_plan_valid,rebuild_plan_valid,solvable,plan_length_difference,macros_used,unique_macros_used,macros_generated,total_walker_paths,total_walker_steps,total_walker_actions_generated,walker_average_branching_factor,walker_median_branching_factor,walker_average_path_length,walker_median_path_length,walker_heuristic,walker_total_time
depot_easy,p01.pddl,greedyResumeWalker, ,success,10668,10s_easy,10.0,1,0,70,17,161, ,10,0.13,0.01,58,9386.0, , ,True,4,1,1,20,9317,22190,215922,4,5,2,2,goalPredicateCount,9000
depot_easy,p02.pddl,greedyResumeWalker, ,success,11068,10s_easy,16.0,1,0,150,37,305, ,16,0.06999999999999999,0.01,100,9295.0, , ,True,0,0,0,20,8223,24263,341225,8,9,2,3,goalPredicateCount,9000
depot_easy,p03.pddl,greedyResumeWalker, ,success,12704,10s_easy,85.0,1,0,8030,2007,16188, ,85,0.40763400000000005,0.123978,150,10153.0, , ,True,6,1,1,20,6384,33494,308173,6,6,5,4,goalPredicateCount,9000
depot_easy,p04.pddl,greedyResumeWalker, ,success,12924,10s_easy,65.0,1,0,1666,416,3672, ,65,0.3519719,0.0599983,208,9866.0, , ,True,5,1,1,20,6330,28096,297726,7,9,4,4,goalPredicateCount,9000
depot_easy,p07.pddl,greedyResumeWalker, ,success,12700,10s_easy,28.0,1,0,410,102,938, ,28,0.9874101,0.0159995,156,10398.0, , ,True,0,0,0,20,7743,29410,224135,4,5,3,3,goalPredicateCount,9000
depot_easy,p08.pddl,greedyResumeWalker, ,success,16812,10s_easy,44.0,1,0,1222,305,3447, ,44,0.759441,0.0759975,284,10126.0, , ,True,0,0,0,20,8768,35662,281796,5,5,4,3,goalPredicateCount,9000
depot_easy,p13.pddl,greedyResumeWalker, ,success,16532,10s_easy,26.0,1,0,418,104,1589, ,26,0.3677089,0.0239995,236,9514.0, , ,True,0,0,0,20,4983,13147,148283,4,4,2,2,goalPredicateCount,9000
depot_easy,p14.pddl,greedyResumeWalker, ,success,19312,10s_easy,42.0,1,0,2046,511,9985, ,42,0.7425120000000001,0.215989,466,10036.0, , ,True,0,0,0,20,2213,14530,213918,12,14,6,5,goalPredicateCount,9000
depot_easy,p16.pddl,greedyResumeWalker, ,success,15736,10s_easy,40.0,1,0,598,149,3467, ,40,0.3937432,0.0359993,274,9668.0, , ,True,0,0,0,20,2512,14303,321866,17,19,5,4,goalPredicateCount,9000
depot_easy,p19.pddl,greedyResumeWalker, ,success,19552,10s_easy,55.0,1,0,1482,370,13080, ,55,0.61599,0.119996,476,9850.0, , ,True,0,0,0,20,2191,13055,211000,13,14,5,5,goalPredicateCount,9000
driverlog_easy,p01.pddl,greedyResumeWalker, ,success,10536,10s_easy,8.0,1,0,54,13,124, ,8,0.04,0.01,34,9100.0, , ,True,2,1,1,15,3514,8003,423583,7,7,2,2,goalPredicateCount,9000
driverlog_easy,p02.pddl,greedyResumeWalker, ,success,11384,10s_easy,25.0,1,0,21062,5265,43485, ,25,0.0638758,0.0519972,41,9135.0, , ,True,0,0,0,2,4101,8243,373638,6,6,2,2,goalPredicateCount,9000
driverlog_easy,p03.pddl,greedyResumeWalker, ,success,10668,10s_easy,15.0,1,0,130,32,243, ,15,0.06999999999999999,0.01,46,9216.0, , ,True,0,0,0,20,4968,11867,405702,7,8,2,2,goalPredicateCount,9000
driverlog_easy,p04.pddl,greedyResumeWalker, ,success,11584,10s_easy,25.0,1,0,17982,4495,48198, ,25,0.0671322,0.0559855,51,9125.0, , ,True,0,0,0,0,2239,4491,496767,9,10,2,2,goalPredicateCount,9000
driverlog_easy,p05.pddl,greedyResumeWalker, ,success,10672,10s_easy,22.0,1,0,238,59,678, ,22,0.09,0.01,59,9243.0, , ,True,0,0,0,20,5419,13990,346193,8,8,2,2,goalPredicateCount,9000
driverlog_easy,p06.pddl,greedyResumeWalker, ,success,10668,10s_easy,16.0,1,0,338,84,1202, ,16,0.060000000000000005,0.01,69,9154.0, , ,True,3,1,1,20,1712,3828,344838,9,9,2,2,goalPredicateCount,9000
driverlog_easy,p07.pddl,greedyResumeWalker, ,success,10800,10s_easy,19.0,1,0,214,53,794, ,19,0.09,0.01,78,9221.0, , ,True,2,1,1,20,3818,8949,491712,12,13,2,2,goalPredicateCount,9000
driverlog_easy,p08.pddl,greedyResumeWalker, ,success,10800,10s_easy,27.0,1,0,138,34,500, ,27,0.08,0.01,84,9189.0, , ,True,3,1,1,20,1984,4600,530069,15,16,2,2,goalPredicateCount,9000
driverlog_easy,p09.pddl,greedyResumeWalker, ,success,11188,10s_easy,49.0,1,0,3358,839,9359, ,49,0.0839227,0.0199988,97,9182.0, , ,True,0,0,0,9,3083,6547,290743,8,9,2,2,goalPredicateCount,9000
driverlog_easy,p10.pddl,greedyResumeWalker, ,success,10944,10s_easy,18.0,1,0,114,28,386, ,18,0.13,0.01,114,9247.0, , ,True,3,1,1,20,3733,8727,329138,11,12,2,2,goalPredicateCount,9000
driverlog_easy,p11.pddl,greedyResumeWalker, ,success,11196,10s_easy,26.0,1,0,206,51,456, ,26,0.15000000000000002,0.01,119,9273.0, , ,True,0,0,0,20,3140,7925,276863,10,11,2,2,goalPredicateCount,9000
driverlog_easy,p12.pddl,greedyResumeWalker, ,success,16628,10s_easy,53.0,1,0,52946,13236,178076, ,53,0.49498200000000003,0.399978,176,9564.0, , ,True,0,0,0,17,1200,2448,282325,10,11,2,2,goalPredicateCount,9000
driverlog_easy,p13.pddl,greedyResumeWalker, ,success,12108,10s_easy,31.0,1,0,394,98,1652, ,31,0.12,0.01,197,9211.0, , ,True,0,0,0,20,1416,3388,279016,12,14,2,2,goalPredicateCount,9000
driverlog_easy,p14.pddl,greedyResumeWalker, ,success,12252,10s_easy,39.0,1,0,646,161,3061, ,39,0.1137322,0.0119986,195,9206.0, , ,True,3,1,1,20,2863,7378,308655,12,13,2,2,goalPredicateCount,9000
driverlog_easy,p15.pddl,greedyResumeWalker, ,success,14624,10s_easy,49.0,1,0,938,234,5508, ,49,0.1859981,0.0279983,336,9280.0, , ,True,0,0,0,20,2207,5917,247138,14,15,2,2,goalPredicateCount,9000
driverlog_easy,p17.pddl,greedyResumeWalker, ,success,23592,10s_easy,130.0,1,0,4690,1172,36439, ,130,0.664078,0.295981,665,9787.0, , ,True,0,0,0,20,1511,3877,197690,19,20,2,2,goalPredicateCount,9000
freecell_easy,p01.pddl,greedyResumeWalker, ,success,12268,10s_easy,8.0,1,0,34,8,46, ,8,0.05,0.01,75,9100.0, , ,True,0,0,0,0,2,16,116,0,0,8,12,goalPredicateCount,9000
freecell_easy,p02.pddl,greedyResumeWalker, ,success,15020,10s_easy,15.0,1,0,62,15,99, ,15,0.1147277,0.01,112,9182.0, , ,True,0,0,0,0,5,48,356,0,0,9,8,goalPredicateCount,9000
freecell_easy,p03.pddl,greedyResumeWalker, ,success,16444,10s_easy,20.0,1,0,86,21,156, ,20,0.1557358,0.01,146,9205.0, , ,True,0,0,0,0,8,120,963,0,0,15,12,goalPredicateCount,9000
freecell_easy,p04.pddl,greedyResumeWalker, ,success,19476,10s_easy,27.0,1,0,218,54,361, ,27,0.19999840000000002,0.0199996,180,9258.0, , ,True,2,1,1,2,25,263,1620,0,0,10,7,goalPredicateCount,9000
freecell_easy,p05.pddl,greedyResumeWalker, ,success,23484,10s_easy,46.0,1,0,458,114,672, ,46,0.469881,0.0759967,220,9557.0, , ,True,0,0,0,9,79,821,5865,0,0,10,8,goalPredicateCount,9000
freecell_easy,p06.pddl,greedyResumeWalker, ,success,34216,10s_easy,39.0,1,3,489,121,817, ,39,0.715216,0.0919275,255,9860.0, , ,True,3,1,1,20,476,7341,63653,1,0,15,14,goalPredicateCount,9000
freecell_easy,p07.pddl,greedyResumeWalker, ,success,35068,10s_easy,47.0,1,24,774,187,938, ,47,1.046374,0.159946,259,10207.0, , ,True,6,2,2,20,978,12930,87438,6,7,13,12,goalPredicateCount,9000
freecell_easy,probfreecell-2-1.pddl,greedyResumeWalker, ,success,23684,10s_easy,9.0,1,0,38,9,54, ,9,0.2499987,0.01,92,9307.0, , ,True,0,0,0,0,1,16,91,0,0,16,16,goalPredicateCount,9000
freecell_easy,probfreecell-2-2.pddl,greedyResumeWalker, ,success,23092,10s_easy,8.0,1,0,34,8,68, ,8,0.359992,0.01,91,9429.0, , ,True,0,0,0,0,4,19,138,0,0,4,6,goalPredicateCount,9000
freecell_easy,probfreecell-2-3.pddl,greedyResumeWalker, ,success,23624,10s_easy,8.0,1,0,34,8,50, ,8,0.389795,0.01,92,9466.0, , ,True,0,0,0,0,1,14,123,0,0,14,14,goalPredicateCount,9000
freecell_easy,probfreecell-2-4.pddl,greedyResumeWalker, ,success,23460,10s_easy,8.0,1,0,34,8,68, ,8,0.3434133,0.01,90,9404.0, , ,True,0,0,0,0,2,15,154,0,0,7,12,goalPredicateCount,9000
freecell_easy,probfreecell-2-5.pddl,greedyResumeWalker, ,success,23824,10s_easy,9.0,1,0,38,9,61, ,9,0.2399982,0.01,92,9299.0, , ,True,0,0,0,0,2,25,207,0,0,12,19,goalPredicateCount,9000
