domain,problem,algorithm,unexplained_errors,error,raw_memory,p7_settings_file,cost,coverage,dead_ends,evaluations,expansions,generated,initial_h_value,plan_length,planner_time,search_time,translator_facts,reformulation_time,reformulated_plan_valid,rebuild_plan_valid,solvable,plan_length_difference,macros_used,macros_generated
driverlog_hard,p16.pddl,probeWalker,['Rebuild plan was not valid!'],success,65696,experiment_2,155.0,1,0,288498,72124,1877511, ,155,10.8794,10.6474,500,48416.0,True,False,True,-1,0,4
driverlog_hard,p18.pddl,probeWalker,['Rebuild plan was not valid!'],success,36176,experiment_2,216.0,1,0,35470,8867,282832, ,216,3.15426,2.64773,825,42086.0,True,False,True,-3,0,3
driverlog_hard,p19.pddl,probeWalker,['Rebuild plan was not valid!'],success,43816,experiment_2,285.0,1,0,41486,10371,354165, ,285,4.25254,3.81176,1050,7945.0,True,False,True,-2,0,6
driverlog_hard,p20.pddl,probeWalker, ,success,102408,experiment_2,137.0,1,0,217570,54392,3051451, ,137,27.4968,26.2661,1276,66810.0,True,True,True,0,0,0
freecell_hard,p13.pddl,probeWalker, ,success, ,experiment_2, , , , , , , , , , , ,457.0, , ,False, , , 
freecell_hard,p15.pddl,probeWalker, ,success, ,experiment_2, , , , , , , , , , , ,457.0, , ,False, , , 
freecell_hard,p16.pddl,probeWalker, ,success, ,experiment_2, , , , , , , , , , , ,453.0, , ,False, , , 
freecell_hard,p18.pddl,probeWalker, ,success, ,experiment_2, ,0, , , , , , , , , ,2856.0, , ,False, , , 
freecell_hard,probfreecell-10-1.pddl,probeWalker, ,success, ,experiment_2, ,0, , , , , , , , , ,2894.0, , ,False, , , 
freecell_hard,probfreecell-10-4.pddl,probeWalker, ,success,107772,experiment_2,76.0,1,16,4210,1048,6516, ,76,13.345400000000001,10.6754,375,27542.0,True,True,True,6,1,3
freecell_hard,probfreecell-11-2.pddl,probeWalker, ,success, ,experiment_2, , , , , , , , , , , ,454.0, , ,False, , , 
freecell_hard,probfreecell-11-4.pddl,probeWalker, ,success, ,experiment_2, ,0, , , , , , , , , ,2921.0, , ,False, , , 
freecell_hard,probfreecell-11-5.pddl,probeWalker, ,success, ,experiment_2, ,0, , , , , , , , , ,2839.0, , ,False, , , 
freecell_hard,probfreecell-12-2.pddl,probeWalker, ,success, ,experiment_2, ,0, , , , , , , , , ,11074.0, , ,False, , , 
freecell_hard,probfreecell-12-4.pddl,probeWalker,['Invalid macros was generated!'],success, ,experiment_2, ,0, , , , , , , , , ,2859.0, , ,False, , , 
freecell_hard,probfreecell-13-1.pddl,probeWalker,['Invalid macros was generated!'],success,101476,experiment_2, ,0, , , , , , , , ,484,41235.0, , ,False, , , 
freecell_hard,probfreecell-13-3.pddl,probeWalker, ,success, ,experiment_2, , , , , , , , , , , ,454.0, , ,False, , , 
freecell_hard,probfreecell-13-4.pddl,probeWalker,['Invalid macros was generated!'],success,96964,experiment_2, ,0, , , , , , , , ,483,13456.0, , ,False, , , 
freecell_hard,probfreecell-9-5.pddl,probeWalker, ,success, ,experiment_2, , , , , , , , , , , ,455.0, , ,False, , , 
logistics_hard,p05.pddl,probeWalker, ,success,64260,experiment_2,167.0,1,0,8962,2240,896348, ,167,7.15231,4.59154,5168,19450.0,True,True,True,0,0,0
logistics_hard,p06.pddl,probeWalker, ,success,109952,experiment_2,201.0,1,0,17606,4401,2148852, ,201,12.224,10.7592,7192,27096.0,True,True,True,0,0,0
logistics_hard,p07.pddl,probeWalker, ,success,150608,experiment_2,230.0,1,0,23970,5992,3360123, ,230,29.037200000000002,26.014,9182,68847.0,True,True,True,0,0,0
