domain,problem,algorithm,unexplained_errors,error,raw_memory,p7_settings_file,cost,coverage,dead_ends,evaluations,expansions,generated,initial_h_value,plan_length,planner_time,search_time,translator_facts,reformulation_time,reformulated_plan_valid,rebuild_plan_valid,solvable,plan_length_difference,macros_used,macros_generated
satellite_hard,p29-HC-pfile9.pddl,queueWalker, ,success,230744,experiment_3,190.0,1,0,1274,318,503796, ,190,9.42329,1.55195,1891,22998.0,True,True,True,0,0,0
satellite_hard,p30-HC-pfile10.pddl,queueWalker, ,success,384920,experiment_3,290.0,1,0,9494,2373,4485105, ,290,29.656599999999997,17.987,2245,182359.0,True,True,True,0,0,2
satellite_hard,p31-HC-pfile11.pddl,queueWalker, ,success,813412,experiment_3,285.0,1,0,7406,1851,4327472, ,285,46.699200000000005,31.4303,2735,199252.0,True,True,True,0,0,1
satellite_hard,p34-HC-pfile14.pddl,queueWalker, ,success,736012,experiment_3,290.0,1,0,1162,290,297849, ,290,12.290189999999999,2.5999,1343,24977.0,True,True,True,0,0,0
satellite_hard,p35-HC-pfile15.pddl,queueWalker, ,success,1051616,experiment_3,418.0,1,0,4918,1229,2022638, ,418,33.5684,15.3433,2088,76339.0,True,True,True,0,0,1
satellite_hard,p36-HC-pfile16.pddl,queueWalker, ,success,1110072,experiment_3,395.0,1,0,7630,1907,3925745, ,395,49.7425,32.0146,2512,92622.0,True,True,True,0,0,0
zenotravel_hard,p15.pddl,queueWalker, ,success,23332,experiment_3,45.0,1,0,1378,344,14497, ,45,1.085714,0.131997,333,1646.0,True,True,True,0,0,0
zenotravel_hard,p16.pddl,queueWalker, ,success,28076,experiment_3,54.0,1,0,642,160,14607, ,54,0.751995,0.111997,390,1277.0,True,True,True,0,0,0
zenotravel_hard,p17.pddl,queueWalker, ,success, ,experiment_3, ,0, , , , , , , , , ,2861.0, , ,False, , , 
zenotravel_hard,p18.pddl,queueWalker, ,success,39524,experiment_3,76.0,1,0,1750,437,23749, ,76,1.593474,0.363986,585,4549.0,True,True,True,0,0,0
zenotravel_hard,p19.pddl,queueWalker, ,success,46664,experiment_3,106.0,1,0,3986,996,36291, ,106,2.097421,0.671974,760,5054.0,True,True,True,0,0,7
zenotravel_hard,p20.pddl,queueWalker, ,success,55888,experiment_3,107.0,1,0,5890,1472,92353, ,107,3.7739399999999996,2.11194,820,6718.0,True,True,True,0,0,0
driverlog_hard,p16.pddl,sameoutput, ,success,348580,experiment_3,177.0,1,0,2335870,583967,14872932, ,177,113.621,113.438,500,113732.0,True,True,True,0,0,0
driverlog_hard,p18.pddl,sameoutput, ,success,67624,experiment_3,163.0,1,0,232102,58025,1719997, ,163,20.2228,19.7549,825,20319.0,True,True,True,0,0,0
driverlog_hard,p19.pddl,sameoutput, ,success,67160,experiment_3,277.0,1,0,211402,52850,1514032, ,277,21.601300000000002,20.6553,1050,21711.0,True,True,True,0,0,0
driverlog_hard,p20.pddl,sameoutput, ,success,102408,experiment_3,137.0,1,0,217570,54392,3051451, ,137,51.846199999999996,50.5862,1276,51975.0,True,True,True,0,0,0
